CODIGO|NOME|ESTADO
0778|CAFELANDIA|PR
0779|CAFEZAL DO SUL|PR
0780|CAIABU|SP
0781|CAIANA|MG
0782|CAIAPONIA|GO
0783|CAIBATE|RS
0784|CAIBI|SC
0785|CAICARA|PB
0786|CAICARA|RS
0787|CAICARA DO RIO DO VENTO|RN
0788|CAICO|RN
0789|CAIEIRAS|SP
0790|CAIRU|BA
0791|CAIUA|SP
0792|CAJA|PB
0793|CAJAMAR|SP
0794|CAJAPIO|MA
0795|CAJARI|MA
0796|CAJATI|SP
0797|CAJAZEIRAS|PB
0798|CAJAZEIRINHAS|PB
0799|CAJOBI|SP
0800|CAJUEIRO|AL
0801|CAJUEIRO|PI
0802|CAJUEIRO DA PRAIA|PI
0803|CAJURI|MG
0804|CAJURU|SP
0805|CALAMBAU|MG
0806|CALCADO|PE
0807|CALCOENE|AP
0808|CALDAS|MG
0809|CALDAS BRANDAO|PB
0810|CALDAS NOVAS|GO
0811|CALDEIRAO GRANDE|BA
0812|CALDEIRAO GRANDE|PI
0813|CALIFORNIA|PR
0814|CALUMBI|PE
0815|CAMACAN|BA
0816|CAMAÇARI|BA
0817|CAMACHO|MG
0818|CAMALAU|PB
0819|CAMAMU|BA
0820|CAMANDUCAIA|MG
0821|CAMAPUA|MS
0822|CAMAQUA|RS
0823|CAMARAGIBE|PE
0824|CAMARGO|RS
0825|CAMARUA|AM
0826|CAMBARA|PR
0827|CAMBARA DO SUL|RS
0828|CAMBÉ|PR
0829|CAMBIRA|PR
0830|CAMBORIÚ|SC
0831|CAMBUCI|RJ
0832|CAMBUI|MG
0833|CAMBUQUIRA|MG
0834|CAMETA|PA
0835|CAMOCIM|CE
0836|CAMOCIM DE SAO FELIX|PE
0837|CAMPANARIO|MG
0838|CAMPANHA|MG
0839|CAMPESTRE|MG
0840|CAMPESTRE DE GOIAS|GO
0841|CAMPINA DA LAGOA|PR
0842|CAMPINA DAS MISSOES|RS
0843|CAMPINA DO MONTE ALEGRE|SP
0844|CAMPINA GRANDE|PB
0845|CAMPINA GRANDE DO SUL|PR
0846|CAMPINA VERDE|MG
0847|CAMPINACU|GO
0848|CAMPINAPOLIS|MT
0849|CAMPINAS|SP
0850|CAMPINAS DE PACATUBA|SE
0851|CAMPINAS DO PIAUI|PI
0852|CAMPINAS DO SUL|RS
0853|CAMPINORTE|GO
0854|CAMPO ALEGRE|SC
0855|CAMPO ALEGRE|AL
0856|CAMPO ALEGRE DE GOIAS|GO
0857|CAMPO ALEGRE DE LOURDES|BA
0858|CAMPO BELO|MG
0859|CAMPO BELO DO SUL|SC
0860|CAMPO BOM|RS
0861|CAMPO BONITO|PR
0862|CAMPO DO BRITO|SE
0863|CAMPO DO MEIO|MG
0864|CAMPO DO TENENTE|PR
0865|CAMPO ERE|SC
